datetime,price
2025-04-22 18:09:08.855,91486.13734433235
2025-04-22 19:04:49.028,91502.62798566568
2025-04-22 20:09:47.284,91443.57232155654
2025-04-22 21:00:38.567,91181.31706325726
2025-04-22 22:04:55.837,92780.03301369656
2025-04-22 23:09:36.120,92890.82073039186
2025-04-23 00:04:39.568,93518.26130183092
2025-04-23 01:05:14.054,92980.77660341187
2025-04-23 02:08:21.982,92765.40196195075
2025-04-23 03:09:19.281,92861.56559827678
2025-04-23 04:09:17.111,93191.46336099145
2025-04-23 05:04:47.950,93539.16589703153
2025-04-23 06:01:08.330,93533.65711519695
2025-04-23 07:04:38.108,93680.63487801861
2025-04-23 08:09:29.580,93966.3329099382
2025-04-23 09:04:04.276,94294.96451438825
2025-04-23 10:06:57.683,93845.59854642389
2025-04-23 11:08:12.769,93715.60255843068
2025-04-23 12:04:45.244,93491.06534555122
2025-04-23 13:04:53.536,93772.95768584043
2025-04-23 14:04:59.472,93257.51177479739
2025-04-23 15:00:30.700,93028.64308888822
2025-04-23 16:04:26.279,93025.32634165006
2025-04-23 17:04:59.304,93660.67063956453
2025-04-23 18:04:55.546,93871.60137754977
2025-04-23 19:04:44.865,93702.96947748295
2025-04-23 20:04:33.892,93534.41629158678
2025-04-23 21:04:42.310,93720.32472543613
2025-04-23 22:05:59.898,93457.78218613163
2025-04-23 23:06:23.353,93775.79949419561
2025-04-24 00:05:09.302,93692.84058767844
2025-04-24 01:05:33.201,93433.21370990733
2025-04-24 02:04:52.135,93559.06623076717
2025-04-24 03:09:34.846,93177.55820369317
2025-04-24 04:06:27.582,92791.86738499445
2025-04-24 05:22:45.076,92830.13674508072
2025-04-24 06:24:09.724,92422.33360998418
2025-04-24 07:14:50.774,92481.314870863
2025-04-24 08:00:46.344,92215.58688600673
2025-04-24 09:04:47.074,91979.55746381238
2025-04-24 10:04:52.429,92439.36671109166
2025-04-24 11:04:44.572,92612.10443532834
2025-04-24 12:04:51.441,92619.17159627969
2025-04-24 13:04:57.746,92758.39429904126
2025-04-24 14:04:57.416,92792.50515530353
2025-04-24 15:09:28.467,93148.31526966579
2025-04-24 16:04:56.308,93263.62351695224
2025-04-24 17:09:48.436,93440.4683204101
2025-04-24 18:04:53.816,93008.71420843324
2025-04-24 19:04:47.205,93426.4096716433
2025-04-24 20:04:41.416,93646.9616071421
2025-04-24 21:04:09.109,93499.2338094935
2025-04-24 22:00:03.429,93368.35893682836
2025-04-24 23:01:45.573,93463.48432069764
2025-04-25 00:06:42.330,93950.39664992713
2025-04-25 01:09:27.251,93937.73291095014
