datetime,price,sentiment_score,headline
2025-04-22,91486.13734433235,0.0,
2025-04-22,91502.62798566568,0.0,
2025-04-22,91443.57232155654,0.0,
2025-04-22,91181.31706325726,0.0,
2025-04-22,92780.03301369656,0.0,
2025-04-22,92890.82073039186,0.0,
2025-04-23,93518.26130183092,0.0,
2025-04-23,92980.77660341188,0.0,
2025-04-23,92765.40196195076,0.0,
2025-04-23,92861.56559827678,0.0,
2025-04-23,93191.46336099145,0.0,
2025-04-23,93539.16589703152,0.0,
2025-04-23,93533.65711519695,0.0,
2025-04-23,93680.6348780186,0.0,
2025-04-23,93966.3329099382,0.0,
2025-04-23,94294.96451438824,0.0,
2025-04-23,93845.59854642388,0.0,
2025-04-23,93715.60255843068,0.0,
2025-04-23,93491.06534555122,0.0,
2025-04-23,93772.95768584045,0.0,
2025-04-23,93257.5117747974,0.0,
2025-04-23,93028.64308888822,0.0,
2025-04-23,93025.32634165006,0.0,
2025-04-23,93660.67063956452,0.0,
2025-04-23,93871.60137754976,0.0,
2025-04-23,93702.96947748295,0.0,
2025-04-23,93534.41629158678,0.0,
2025-04-23,93720.32472543612,0.0,
2025-04-23,93457.78218613163,0.0,
2025-04-23,93775.7994941956,0.0,
2025-04-24,93692.84058767844,0.0,
2025-04-24,93433.21370990732,0.0,
2025-04-24,93559.06623076716,0.0,
2025-04-24,93177.55820369316,0.0,
2025-04-24,92791.86738499445,0.0,
2025-04-24,92830.13674508072,0.0,
2025-04-24,92422.33360998418,0.0,
2025-04-24,92481.314870863,0.0,
2025-04-24,92215.58688600671,0.0,
2025-04-24,91979.55746381238,0.0,
2025-04-24,92439.36671109166,0.0,
2025-04-24,92612.10443532834,0.0,
2025-04-24,92619.17159627967,0.0,
2025-04-24,92758.39429904126,0.0,
2025-04-24,92792.50515530352,0.0,
2025-04-24,93148.3152696658,0.0,
2025-04-24,93263.62351695224,0.0,
2025-04-24,93440.4683204101,0.0,
2025-04-24,93008.71420843324,0.0,
2025-04-24,93426.4096716433,0.0,
2025-04-24,93646.9616071421,0.0,
2025-04-24,93499.2338094935,0.0,
2025-04-24,93368.35893682836,0.0,
2025-04-24,93463.48432069764,0.0,
2025-04-25,93950.39664992712,0.0,
2025-04-25,93937.73291095014,0.0,
2025-04-25,93724.29216200934,0.0,
2025-04-25,93056.1298372759,0.0,
2025-04-25,93340.28087687396,0.0,
2025-04-25,93109.0023842389,0.0,
2025-04-25,93263.24896812698,0.0,
2025-04-25,93584.09278760612,0.0,
2025-04-25,93768.70443780805,0.0,
2025-04-25,93672.32266122216,0.0,
2025-04-25,93826.3479104858,0.0,
2025-04-25,93667.68760388184,0.0,
2025-04-25,94610.85462379066,0.0,
2025-04-25,94458.97869936838,0.0,
2025-04-25,94489.4100285538,0.0,
2025-04-25,95501.30690513336,0.0,
2025-04-25,95132.21312364972,0.0,
2025-04-25,95292.65874105404,0.0,
2025-04-25,94715.48156893643,0.0,
2025-04-25,95057.4656296913,0.0,
2025-04-25,95182.4305032165,0.0,
2025-04-25,94953.82159752958,0.0,
2025-04-25,94682.09884824743,0.0,
2025-04-25,94928.50897300708,0.0,
2025-04-26,94800.21413700008,0.0,
2025-04-26,94888.07294762752,0.0,
2025-04-26,95066.6945668174,0.0,
2025-04-26,95078.20905423805,0.0,
2025-04-26,94791.3808696889,0.0,
2025-04-26,94642.75101322084,0.0,
2025-04-26,94671.43197965456,0.0,
2025-04-26,94734.50640966928,0.0,
2025-04-26,94687.45719807256,0.0,
2025-04-26,94413.16016295046,0.0,
2025-04-26,94272.05009027116,0.0,
2025-04-26,94283.01021932048,0.0,
2025-04-26,94189.89391089336,0.0,
2025-04-26,94293.46684998806,0.0,
2025-04-26,94103.964852563,0.0,
2025-04-26,94305.68621590675,0.0,
2025-04-26,94400.20474084756,0.0,
2025-04-26,94295.89439764652,0.0,
2025-04-26,94356.36388475668,0.0,
2025-04-26,94222.6479037988,0.0,
2025-04-26,94375.5001979302,0.0,
2025-04-26,94211.33026101452,0.0,
2025-04-26,94379.96507670345,0.0,
